horizonCoeff,nBalloons,seed,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,ackedCount,ackLostCount,droppedLoop,droppedTtl,completionRate,meanTowerAdjacent,deliveryCeilingPerRound
3.57,400,2,1.556,5.140,6.039,1426,90,1045,84,5,5,0,0.0789,4.133,3.307
3.57,400,3,1.591,5.866,6.875,1429,115,1038,104,9,1,0,0.0997,6.206,4.964
3.57,400,4,1.585,1.732,2.134,1430,29,1097,29,0,0,0,0.0258,2.785,2.228
3.57,400,5,1.691,2.832,3.306,1421,50,1103,37,13,0,0,0.0434,4.594,3.676
3.57,400,6,1.613,4.877,5.297,1424,88,1068,85,1,0,0,0.0761,7.049,5.639
3.57,400,7,1.433,3.975,4.432,1448,67,1083,62,3,0,0,0.0583,6.131,4.904
3.57,400,8,1.600,6.372,6.943,1435,96,1044,90,5,0,0,0.0842,5.132,4.106
3.57,400,9,1.602,2.490,2.739,1419,46,1089,39,6,0,0,0.0405,3.668,2.934
3.57,1200,0,4.882,86.297,72.929,4274,1139,2048,429,662,389,3,0.3182,10.894,8.716
3.57,1200,1,4.746,90.894,80.662,4267,1385,1678,611,707,543,3,0.3838,16.171,12.937
3.57,1200,2,4.599,89.411,82.884,4254,1681,1504,595,1020,460,6,0.4604,13.688,10.950
3.57,1200,3,4.583,89.237,77.964,4267,1739,1533,736,934,344,5,0.4803,16.496,13.197
3.57,1200,4,4.743,92.477,80.497,4259,1500,1626,617,804,521,6,0.4106,16.697,13.358
3.57,1200,5,4.699,89.222,63.884,4288,1309,1970,446,807,319,1,0.3637,12.278,9.822
3.57,1200,6,4.698,83.928,69.070,4231,1260,1989,528,682,270,2,0.3579,13.765,11.012
3.57,1200,7,4.756,85.049,80.360,4265,1521,1762,628,842,337,2,0.4199,20.226,16.181
3.57,1200,8,4.619,89.324,69.990,4285,1231,2050,415,778,255,1,0.3480,10.032,8.026
3.57,1200,9,4.640,90.747,85.802,4274,1356,1682,515,789,531,3,0.3796,13.149,10.519
3.57,2000,0,7.813,99.580,97.802,7097,4545,1356,1357,3049,339,2,0.7281,30.424,24.339
3.57,2000,1,7.586,99.642,97.653,7144,3667,1970,1126,2433,514,10,0.5952,23.203,18.562
3.57,2000,2,7.681,99.472,97.598,7113,3713,1984,1227,2351,474,2,0.6015,27.637,22.110
3.57,2000,3,7.569,99.250,97.376,7090,3727,2021,1176,2405,368,5,0.6089,26.406,21.124
3.57,2000,4,7.962,99.654,97.016,7117,2608,2915,687,1873,449,10,0.4360,14.062,11.250
3.57,2000,5,7.791,99.499,97.322,7093,3662,2002,1180,2381,446,10,0.5984,24.649,19.719
3.57,2000,6,7.690,99.329,97.536,7150,3718,2030,929,2662,435,3,0.6010,21.497,17.198
3.57,2000,7,7.645,99.795,97.799,7076,4188,1646,1321,2749,314,6,0.6805,25.671,20.537
3.57,2000,8,7.865,99.375,97.507,7118,3870,1862,1200,2554,400,5,0.6306,24.971,19.977
3.57,2000,9,7.854,99.673,97.994,7106,4285,1516,1214,2964,366,3,0.6945,29.781,23.824
4.12,400,0,2.240,15.786,18.315,1419,263,901,224,28,6,0,0.2248,12.581,10.064
4.12,400,1,2.047,11.606,12.642,1411,194,970,136,44,6,0,0.1658,8.475,6.780
4.12,400,2,2.155,22.475,22.968,1422,315,846,263,44,7,0,0.2697,11.389,9.111
4.12,400,3,2.081,9.443,11.453,1427,183,965,160,21,0,0,0.1594,8.433,6.747
4.12,400,4,1.960,10.022,11.178,1436,172,990,154,14,2,0,0.1478,8.113,6.490
4.12,400,5,2.166,2.989,3.629,1427,57,1075,53,3,0,0,0.0504,3.024,2.419
4.12,400,6,2.058,13.360,14.916,1430,209,936,202,5,10,0,0.1810,11.231,8.984
4.12,400,7,2.032,8.073,8.347,1427,128,1026,119,5,0,0,0.1109,8.826,7.061
4.12,400,8,2.099,9.255,10.768,1412,155,992,142,13,0,0,0.1351,5.901,4.721
4.12,400,9,2.217,9.437,10.419,1411,157,984,127,26,0,0,0.1376,8.293,6.634
4.12,1200,0,6.062,98.621,96.702,4303,2154,1221,964,1131,354,4,0.5770,22.785,18.228
4.12,1200,1,5.931,98.740,97.127,4295,2552,944,944,1515,271,0,0.6775,21.693,17.354
4.12,1200,2,6.296,98.309,96.434,4298,2744,808,1085,1538,249,3,0.7213,24.853,19.882
4.12,1200,3,6.028,98.294,96.273,4299,2317,1114,869,1377,315,1,0.6184,20.046,16.037
4.12,1200,4,6.534,98.261,96.225,4289,2575,862,986,1488,315,5,0.6854,21.469,17.176
4.12,1200,5,6.429,97.923,96.533,4258,2662,863,974,1604,203,7,0.7127,21.925,17.540
4.12,1200,6,6.331,97.774,95.704,4274,2279,1051,1102,1087,430,5,0.6053,31.335,25.068
4.12,1200,7,6.133,98.802,97.080,4296,2972,668,1051,1789,221,2,0.7694,23.247,18.598
4.12,1200,8,6.125,97.807,95.639,4289,2012,1328,713,1229,357,4,0.5436,18.351,14.681
4.12,1200,9,6.135,98.589,95.569,4285,2003,1335,729,1209,345,2,0.5436,17.171,13.737
4.12,2000,0,10.155,99.929,98.591,7169,5137,998,1779,3198,276,2,0.8010,39.969,31.976
4.12,2000,1,10.200,99.768,98.415,7132,4389,1485,1398,2877,365,1,0.7034,22.432,17.946
4.12,2000,2,10.528,99.817,98.600,7122,5381,835,2100,3104,241,2,0.8331,40.640,32.512
4.12,2000,3,10.306,99.911,98.573,7121,5156,972,1746,3231,281,1,0.8044,37.462,29.970
4.12,2000,4,10.590,99.800,98.509,7087,5181,932,1945,3062,269,1,0.8117,39.769,31.816
4.12,2000,5,10.211,99.895,98.654,7146,4974,1087,1747,3075,283,1,0.7839,34.633,27.707
4.12,2000,6,10.131,99.909,98.496,7156,4683,1377,1689,2810,282,5,0.7378,38.749,30.999
4.12,2000,7,10.472,99.889,98.573,7136,5031,1046,1640,3235,300,3,0.7886,35.449,28.359
4.12,2000,8,10.142,99.911,98.639,7134,5191,933,1786,3234,275,0,0.8112,36.403,29.122
4.12,2000,9,10.082,99.872,98.542,7070,5295,820,1716,3450,277,5,0.8277,35.296,28.237
5,400,0,2.982,30.430,34.036,1436,419,733,359,54,46,0,0.3497,13.500,10.800
5,400,1,3.238,41.994,43.731,1422,473,712,325,134,9,0,0.3961,11.797,9.438
5,400,2,2.990,43.023,44.256,1422,512,677,339,144,24,0,0.4221,12.161,9.729
5,400,3,3.019,46.526,49.558,1438,640,563,399,218,21,0,0.5229,11.949,9.559
5,400,4,3.208,31.863,33.500,1415,427,758,361,58,15,0,0.3558,15.710,12.568
5,400,5,3.421,33.141,35.478,1428,363,791,213,136,27,0,0.3074,8.965,7.172
5,400,6,3.229,52.303,53.995,1424,487,666,339,122,63,1,0.4002,11.772,9.418
5,400,7,3.232,41.306,44.369,1416,498,647,370,119,26,0,0.4253,10.561,8.449
5,400,8,3.042,41.806,45.789,1414,544,601,401,141,20,0,0.4670,13.210,10.568
5,400,9,3.219,48.264,45.865,1430,441,671,265,171,65,0,0.3747,10.953,8.762
5,1200,0,9.199,99.758,98.508,4272,3236,510,1433,1728,153,0,0.8300,31.565,25.252
5,1200,1,9.253,99.896,98.843,4303,3376,359,1638,1638,159,0,0.8670,38.628,30.902
5,1200,2,9.228,99.646,98.352,4281,3434,353,1491,1802,130,1,0.8765,30.243,24.194
5,1200,3,9.484,99.913,98.734,4282,3486,245,1538,1822,159,0,0.8961,30.765,24.612
5,1200,4,9.097,99.872,98.545,4276,3208,493,1379,1709,198,0,0.8228,28.972,23.178
5,1200,5,9.330,99.848,98.581,4262,3538,292,1697,1698,149,1,0.8889,37.576,30.061
5,1200,6,9.057,99.876,98.317,4270,3249,464,1294,1869,155,0,0.8400,19.057,15.246
5,1200,7,8.851,99.783,98.702,4270,3545,222,1541,1930,153,0,0.9043,30.906,24.724
5,1200,8,9.202,99.803,98.577,4300,3365,398,1471,1754,158,0,0.8582,30.703,24.562
5,1200,9,9.198,99.779,98.780,4256,3436,277,1486,1836,162,0,0.8867,34.561,27.649
5,2000,0,15.258,99.982,99.182,7106,6092,321,2655,3230,173,0,0.9250,54.603,43.682
5,2000,1,14.950,99.995,99.132,7107,6026,384,2707,3118,186,1,0.9134,53.835,43.068
5,2000,2,15.095,99.994,99.167,7116,6217,199,2794,3220,208,1,0.9384,62.775,50.220
5,2000,3,15.287,99.997,99.175,7150,6179,272,2718,3266,173,0,0.9328,55.779,44.623
5,2000,4,15.425,99.985,99.076,7162,5997,455,2515,3273,177,0,0.9047,67.025,53.620
5,2000,5,15.284,99.983,99.041,7116,5996,412,2537,3254,186,0,0.9093,58.249,46.599
5,2000,6,15.050,99.959,98.971,7113,5902,406,2441,3313,183,0,0.9093,49.574,39.659
5,2000,7,15.112,99.973,99.119,7130,6148,270,2521,3434,165,0,0.9339,55.358,44.287
5,2000,8,14.955,99.995,99.130,7134,6026,377,2450,3355,172,0,0.9165,54.360,43.488
5,2000,9,14.927,99.992,99.015,7097,5849,425,2348,3300,221,0,0.9005,46.625,37.300
