protocol,n,seed,originated,delivered,resolved,unresolved,unresolved_share,completion_rate,delivered_per_originated,stall_rate,delivered_per_slot_used,ceiling_utilisation,delivery_latency_mean,delivery_latency_p95,ack_latency_mean,first_hop_latency_mean,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share
dv-dtn,1600,3,3171,1750,2428,743,0.23431094292021445,0.7207578253706755,0.5518763796909493,0.13201373243214243,0.10815153575180768,0.19168419207851384,45.82742857142857,135,54.054162487462385,7.238850346878097,560,117,1,2131,294,7.048831945679412,4.335428571428571,,
dv-dtn,2000,3,3949,2195,3059,890,0.22537351228159028,0.7175547564563582,0.5558369207394277,0.16870766608352394,0.11844377293330455,0.1958282777817429,46.870615034168566,135,55.12488849241748,7.331660945339319,711,153,0,3554,162,6.448102194006522,4.035535307517084,,
dv-dtn,3000,3,5948,3864,4739,1209,0.20326160053799597,0.8153618906942393,0.6496301277740417,0.12908193732910078,0.13944424395525082,0.20329994107248084,48.63509316770186,135,55.49318403115871,6.96319018404908,716,158,1,4024,45,5.943151246754019,4.078933747412008,,
dv-dtn,100,4,198,3,117,81,0.4090909090909091,0.02564102564102564,0.015151515151515152,0.9993657505285413,1,0.006625441696113074,4.666666666666667,10,4.666666666666667,0,114,0,0,0,4727,1,0,,
dv-dtn,200,4,396,24,253,143,0.3611111111111111,0.09486166007905138,0.06060606060606061,0.99376026272578,0.42105263157894735,0.01687289088863892,30.625,130,35.708333333333336,41.526315789473685,229,0,0,0,9078,1.9315068493150684,1.0416666666666667,,
dv-dtn,400,4,795,104,519,276,0.3471698113207547,0.2003853564547206,0.13081761006289308,0.9726856203007519,0.22365591397849463,0.03633314700950251,35.31730769230769,120,39.144444444444446,24.65137614678899,415,0,0,0,16540,3.8013538141109087,2.923076923076923,,
dv-dtn,600,4,1191,272,807,384,0.3224181360201511,0.33705080545229243,0.22837951301427373,0.9196039244186046,0.1536723163841808,0.06268436578171091,43.705882352941174,125,49.08968609865471,15.88955223880597,531,4,0,32,20196,5.607704160246533,3.849264705882353,,
dv-dtn,800,4,1581,399,1074,507,0.3206831119544592,0.3715083798882682,0.2523719165085389,0.6029099231649502,0.05475504322766571,0.08306962025316457,52.43358395989975,140,54.3202614379085,12.242844752818733,662,13,0,1122,9899,9.951363740545496,4.290726817042606,,
dv-dtn,1200,4,2376,1343,1799,577,0.24284511784511784,0.7465258476931629,0.5652356902356902,0.16210045662100458,0.11089092560482207,0.1729065815222989,51.95681310498883,140,59.405105438401776,7.793580026749889,379,77,0,1727,587,6.918760652012411,4.178704393149665,,
dv-dtn,1600,4,3169,1914,2504,665,0.20984537709056486,0.7643769968051118,0.6039760176711897,0.12370575161272834,0.11840395917104857,0.18042986425339366,51.5564263322884,135,58.247956403269754,7.3587028457974855,472,117,1,2055,200,6.675342399379805,4.378787878787879,,
dv-dtn,2000,4,3967,2553,3185,782,0.19712629190824302,0.8015698587127159,0.6435593647592639,0.11780760626398212,0.1294821727443323,0.17570060012112537,49.890716803760284,135,57.4019801980198,7.1959798994974875,499,131,2,2463,136,6.2542999435231295,4.282804543674109,,
dv-dtn,3000,4,5948,4115,4836,1112,0.18695359784801613,0.8509098428453267,0.6918291862811029,0.09531659071075338,0.14701679171132548,0.2155804694048617,45.82357229647631,125,55.82323912068192,6.713560804899387,547,171,3,2873,62,5.876033865328819,4.144106925880924,,
dv-dtn,100,5,197,16,124,73,0.37055837563451777,0.12903225806451613,0.08121827411167512,0.9947941315664931,0.7272727272727273,0.01,6.0625,20,7.875,6,108,0,0,0,4204,1.3718354430379747,0.375,,
dv-dtn,200,5,397,31,252,145,0.36523929471032746,0.12301587301587301,0.07808564231738035,0.9933925723399407,0.5344827586206896,0.012109374999999999,7.709677419354839,20,11.483870967741936,5.733333333333333,221,0,0,0,8720,1.8511146496815287,0.8709677419354839,,
dv-dtn,400,5,793,132,531,262,0.33039092055485497,0.24858757062146894,0.1664564943253468,0.9636531365313653,0.2233502538071066,0.04370860927152318,23.78030303030303,75,32.31481481481482,9,399,0,0,0,15663,4.2191375161947064,3.1515151515151514,,
dv-dtn,600,5,1190,296,814,376,0.31596638655462184,0.36363636363636365,0.24873949579831933,0.8319349627390693,0.09178294573643411,0.061258278145695365,46.520270270270274,140,45.00406504065041,18.700544464609802,511,7,0,131,15792,7.409088481871096,3.550675675675676,,
