seed,nBalloons,ackPolicy,towerContact,meshHop,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,completionRate,meanTowerAdjacent,deliveryCeilingPerRound,slotsWithBundle,stallNoBelief,stallStaleNextHop
13,600,digest,1,4,800,3.1667,32.8333,32.8333,2371,741,1262,693,0,3,0,1482,0.369392,12.3338,2.4668,44007,39604,31
1,600,digest,4,8,800,3.0133,33.1667,33.8333,2379,822,1226,781,0,4,0,6,0.400585,14.4925,11.5940,44436,40811,59
7,600,digest,4,2,800,2.9367,17.6667,17.6667,2384,490,1536,462,0,4,0,0,0.241379,4.6913,3.7530,52748,50301,23
13,600,digest,1,8,800,3.1667,32.8333,32.8333,2369,741,1261,692,0,3,0,2730,0.369576,12.3338,2.4668,44027,39604,31
7,600,digest,4,4,800,2.9367,17.6667,17.6667,2384,491,1535,463,0,4,0,0,0.241872,4.6913,3.7530,52686,50301,23
13,600,digest,4,1,800,3.1667,32.8333,32.8333,2371,770,1245,734,0,4,0,118,0.381377,12.3338,9.8670,44359,39632,35
7,600,digest,4,8,800,2.9367,17.6667,17.6667,2384,491,1535,463,0,4,0,1,0.241872,4.6913,3.7530,52673,50301,23
13,600,digest,4,2,800,3.1667,32.8333,32.8333,2371,840,1203,814,0,3,0,15,0.410557,12.3338,9.8670,43596,39604,31
13,600,digest,4,4,800,3.1667,32.8333,32.8333,2371,840,1203,813,0,3,0,20,0.410557,12.3338,9.8670,43493,39604,31
1,1200,source-routed,1,1,800,6.3242,99.0833,99.1667,4753,2384,1557,1875,461,169,0,4737,0.580049,28.3163,5.6632,32415,2256,84
13,600,digest,4,8,800,3.1667,32.8333,32.8333,2371,840,1203,813,0,3,0,22,0.410557,12.3338,9.8670,43486,39604,31
7,1200,source-routed,1,1,800,5.8517,98.9167,98.9167,4761,1968,1848,1474,442,277,3,4253,0.480469,21.4950,4.2990,34533,1505,84
1,1200,source-routed,1,2,800,6.3242,99.0833,99.1667,4755,2541,1414,1957,527,166,2,11389,0.616299,28.3163,5.6632,29369,2256,81
13,1200,source-routed,1,1,800,6.2383,97.7500,97.9167,4751,2010,1884,1546,419,196,1,6113,0.491322,21.8125,4.3625,33919,2468,96
7,1200,source-routed,1,2,800,5.8517,98.9167,98.9167,4762,2213,1638,1483,677,232,16,9908,0.539888,21.4950,4.2990,30779,1505,78
1,1200,source-routed,1,4,800,6.3242,99.0833,99.1667,4753,2682,1286,1953,668,157,1,21620,0.650024,28.3163,5.6632,28028,2256,79
13,1200,source-routed,1,2,800,6.2383,97.7500,97.9167,4750,2131,1775,1618,452,174,2,14139,0.522048,21.8125,4.3625,30960,2468,88
7,1200,source-routed,1,4,800,5.8517,98.9167,98.9167,4758,2305,1561,1515,724,207,22,21353,0.562882,21.4950,4.2990,29026,1505,77
1,1200,source-routed,1,8,800,6.3242,99.0833,99.1667,4750,2760,1192,1990,705,164,2,34671,0.670228,28.3163,5.6632,27526,2256,81
13,1200,source-routed,1,4,800,6.2383,97.7500,97.9167,4749,2205,1707,1591,556,171,3,28206,0.539648,21.8125,4.3625,29777,2468,78
7,1200,source-routed,1,8,800,5.8517,98.9167,98.9167,4753,2378,1486,1522,786,199,31,38605,0.580850,21.4950,4.2990,28694,1505,78
1,1200,source-routed,4,1,800,6.3242,99.0833,99.1667,4757,2730,1283,1937,725,172,0,4168,0.652330,28.3163,22.6530,31416,2256,86
13,1200,source-routed,1,8,800,6.2383,97.7500,97.9167,4749,2245,1657,1596,581,179,6,46450,0.549303,21.8125,4.3625,29453,2468,81
7,1200,source-routed,4,1,800,5.8517,98.9167,98.9167,4761,2182,1684,1500,617,277,4,3872,0.526163,21.4950,17.1960,33748,1505,82
1,1200,source-routed,4,2,800,6.3242,99.0833,99.1667,4760,3472,670,1948,1447,148,0,6509,0.809324,28.3163,22.6530,26289,2256,82
13,1200,source-routed,4,1,800,6.2383,97.7500,97.9167,4757,2728,1233,1580,1098,188,1,3556,0.657349,21.8125,17.4500,31451,2468,94
7,1200,source-routed,4,2,800,5.8517,98.9167,98.9167,4762,2932,1065,1529,1332,236,16,6668,0.690045,21.4950,17.1960,28496,1505,76
1,1200,source-routed,4,4,800,6.3242,99.0833,99.1667,4758,4052,239,1974,1990,117,1,6016,0.919029,28.3163,22.6530,23048,2256,71
13,1200,source-routed,4,2,800,6.2383,97.7500,97.9167,4756,3448,646,1612,1774,142,3,5441,0.813399,21.8125,17.4500,26259,2468,80
7,1200,source-routed,4,4,800,5.8517,98.9167,98.9167,4757,3605,501,1521,1994,201,29,9150,0.831411,21.4950,17.1960,25177,1505,74
1,1200,source-routed,4,8,800,6.3242,99.0833,99.1667,4758,4143,169,1992,2056,121,1,7918,0.934371,28.3163,22.6530,22321,2256,74
13,1200,source-routed,4,4,800,6.2383,97.7500,97.9167,4757,3879,331,1643,2155,114,8,8186,0.895429,21.8125,17.4500,23737,2468,72
7,1200,source-routed,4,8,800,5.8517,98.9167,98.9167,4761,3759,371,1543,2135,178,35,13844,0.865531,21.4950,17.1960,24009,1505,70
1,1200,digest,1,1,800,6.3242,99.0833,99.1667,4758,2587,1386,2299,0,164,0,5153,0.625332,28.3163,5.6632,33928,2256,83
13,1200,source-routed,4,8,800,6.2383,97.7500,97.9167,4755,3977,273,1635,2264,102,8,13043,0.912156,21.8125,17.4500,23185,2468,76
7,1200,digest,1,1,800,5.8517,98.9167,98.9167,4762,2278,1572,1954,0,261,8,4549,0.553047,21.4950,4.2990,36283,1505,85
1,1200,digest,1,2,800,6.3242,99.0833,99.1667,4754,2822,1174,2430,0,165,0,12461,0.678202,28.3163,5.6632,30980,2256,83
13,1200,digest,1,1,800,6.2383,97.7500,97.9167,4751,2192,1729,1919,0,189,2,6755,0.533074,21.8125,4.3625,35470,2468,98
7,1200,digest,1,2,800,5.8517,98.9167,98.9167,4761,2482,1396,2041,0,233,19,11509,0.600969,21.4950,4.2990,32850,1505,79
1,1200,digest,1,4,800,6.3242,99.0833,99.1667,4754,3002,993,2564,0,175,2,23748,0.719559,28.3163,5.6632,29835,2256,81
13,1200,digest,1,2,800,6.2383,97.7500,97.9167,4750,2311,1638,1992,0,167,5,15730,0.560786,21.8125,4.3625,32581,2468,89
7,1200,digest,1,4,800,5.8517,98.9167,98.9167,4759,2604,1265,2105,0,221,30,25388,0.632039,21.4950,4.2990,31428,1505,81
1,1200,digest,1,8,800,6.3242,99.0833,99.1667,4754,3106,914,2643,0,164,2,38743,0.741997,28.3163,5.6632,29532,2256,82
13,1200,digest,1,4,800,6.2383,97.7500,97.9167,4751,2373,1572,2006,0,168,3,31615,0.576531,21.8125,4.3625,31877,2468,85
7,1200,digest,1,8,800,5.8517,98.9167,98.9167,4762,2633,1252,2137,0,210,32,45672,0.637994,21.4950,4.2990,31062,1505,81
1,1200,digest,4,1,800,6.3242,99.0833,99.1667,4759,3332,797,2971,0,163,0,3098,0.776328,28.3163,22.6530,31913,2256,83
7,1200,digest,4,1,800,5.8517,98.9167,98.9167,4763,2809,1179,2414,0,261,9,2940,0.659699,21.4950,17.1960,34704,1505,84
13,1200,digest,1,8,800,6.2383,97.7500,97.9167,4749,2391,1545,2007,0,175,8,52177,0.580481,21.8125,4.3625,31390,2468,84
1,1200,digest,4,2,800,6.3242,99.0833,99.1667,4760,4248,131,3972,0,121,6,1629,0.942743,28.3163,22.6530,25396,2256,81
7,1200,digest,4,2,800,5.8517,98.9167,98.9167,4763,3827,332,3376,0,198,28,3117,0.872748,21.4950,17.1960,28666,1505,76
13,1200,digest,4,1,800,6.2383,97.7500,97.9167,4759,3240,836,2921,0,172,2,2550,0.762353,21.8125,17.4500,31822,2468,94
1,1200,digest,4,4,800,6.3242,99.0833,99.1667,4760,4413,68,4163,0,114,3,476,0.959765,28.3163,22.6530,23129,2256,76
7,1200,digest,4,4,800,5.8517,98.9167,98.9167,4763,4281,39,3848,0,167,34,631,0.946914,21.4950,17.1960,25011,1505,76
13,1200,digest,4,2,800,6.2383,97.7500,97.9167,4760,4006,259,3589,0,119,5,3479,0.912736,21.8125,17.4500,26434,2468,85
1,1200,digest,4,8,800,6.3242,99.0833,99.1667,4760,4404,68,4157,0,115,2,902,0.959686,28.3163,22.6530,22919,2256,75
7,1200,digest,4,8,800,5.8517,98.9167,98.9167,4763,4284,39,3881,0,158,36,1843,0.948417,21.4950,17.1960,24604,1505,75
13,1200,digest,4,4,800,6.2383,97.7500,97.9167,4758,4271,111,3880,0,98,8,3732,0.951649,21.8125,17.4500,24046,2468,78
13,1200,digest,4,8,800,6.2383,97.7500,97.9167,4758,4274,114,3883,0,95,7,6671,0.951893,21.8125,17.4500,23781,2468,79
1,2000,source-routed,1,1,800,10.1750,99.8000,99.9000,7938,3956,2579,3054,808,287,1,11421,0.579804,41.7525,8.3505,51840,421,75
7,2000,source-routed,1,1,800,9.7295,99.8500,99.8500,7923,3883,2629,2951,849,332,0,11315,0.567358,37.1025,7.4205,51827,168,48
13,2000,source-routed,1,1,800,10.3620,100.0000,100.0000,7920,3704,2792,2852,774,324,1,11518,0.543029,35.7088,7.1418,53977,137,78
1,2000,source-routed,1,2,800,10.1750,99.8000,99.9000,7931,4337,2249,3174,1066,252,2,22494,0.634064,41.7525,8.3505,46182,421,68
7,2000,source-routed,1,2,800,9.7295,99.8500,99.8500,7920,4132,2447,3087,944,314,1,25036,0.599362,37.1025,7.4205,46784,168,45
13,2000,source-routed,1,2,800,10.3620,100.0000,100.0000,7916,4023,2494,2948,981,309,1,24357,0.589278,35.7088,7.1418,48053,137,70
1,2000,source-routed,1,4,800,10.1750,99.8000,99.9000,7929,4572,2027,3218,1220,261,4,40213,0.666084,41.7525,8.3505,43712,421,64
7,2000,source-routed,1,4,800,9.7295,99.8500,99.8500,7912,4215,2342,3165,954,326,0,45998,0.612378,37.1025,7.4205,44649,168,42
13,2000,source-routed,1,4,800,10.3620,100.0000,100.0000,7911,4174,2379,3002,1069,269,3,44985,0.611575,35.7088,7.1418,45426,137,70
1,2000,source-routed,1,8,800,10.1750,99.8000,99.9000,7929,4665,1948,3203,1349,242,3,62964,0.680227,41.7525,8.3505,42745,421,67
7,2000,source-routed,1,8,800,9.7295,99.8500,99.8500,7917,4266,2299,3155,1003,330,2,73259,0.618530,37.1025,7.4205,43868,168,42
13,2000,source-routed,1,8,800,10.3620,100.0000,100.0000,7912,4267,2295,3018,1140,274,2,70860,0.624013,35.7088,7.1418,44444,137,71
1,2000,source-routed,4,1,800,10.1750,99.8000,99.9000,7940,5127,1670,2942,2049,263,1,7298,0.726101,41.7525,33.4020,47158,421,70
7,2000,source-routed,4,1,800,9.7295,99.8500,99.8500,7926,5447,1386,3012,2308,307,1,6026,0.762778,37.1025,29.6820,46416,168,47
13,2000,source-routed,4,1,800,10.3620,100.0000,100.0000,7923,4925,1833,2745,2078,304,1,6797,0.697296,35.7088,28.5670,48690,137,78
1,2000,source-routed,4,2,800,10.1750,99.8000,99.9000,7941,6190,862,3039,2988,211,2,10045,0.852030,41.7525,33.4020,38241,421,62
7,2000,source-routed,4,2,800,9.7295,99.8500,99.8500,7930,6488,607,2999,3338,247,1,8711,0.883563,37.1025,29.6820,37345,168,44
13,2000,source-routed,4,2,800,10.3620,100.0000,100.0000,7923,6115,891,2806,3167,233,1,10490,0.844613,35.7088,28.5670,39588,137,68
1,2000,source-routed,4,4,800,10.1750,99.8000,99.9000,7939,6909,308,3087,3634,192,4,11796,0.932011,41.7525,33.4020,33655,421,58
7,2000,source-routed,4,4,800,9.7295,99.8500,99.8500,7927,6819,385,3018,3655,231,0,13879,0.917149,37.1025,29.6820,34009,168,34
13,2000,source-routed,4,4,800,10.3620,100.0000,100.0000,7923,6839,320,2871,3816,203,6,13626,0.928203,35.7088,28.5670,34723,137,65
1,2000,source-routed,4,8,800,10.1750,99.8000,99.9000,7941,7176,101,3034,3972,180,3,13487,0.961930,41.7525,33.4020,32083,421,53
7,2000,source-routed,4,8,800,9.7295,99.8500,99.8500,7925,6973,270,2992,3816,250,0,19635,0.930602,37.1025,29.6820,33015,168,34
13,2000,source-routed,4,8,800,10.3620,100.0000,100.0000,7924,7001,215,2897,3948,192,3,20380,0.944677,35.7088,28.5670,33500,137,67
1,2000,digest,1,1,800,10.1750,99.8000,99.9000,7935,4278,2298,3860,0,292,3,12055,0.622617,41.7525,8.3505,53758,421,77
7,2000,digest,1,1,800,9.7295,99.8500,99.8500,7921,4089,2493,3718,0,335,1,12892,0.591067,37.1025,7.4205,54110,168,57
13,2000,digest,1,1,800,10.3620,100.0000,100.0000,7921,3995,2548,3535,0,311,1,12429,0.582786,35.7088,7.1418,56373,137,80
7,2000,digest,1,2,800,9.7295,99.8500,99.8500,7921,4276,2339,3878,0,329,0,28069,0.615783,37.1025,7.4205,49268,168,52
1,2000,digest,1,2,800,10.1750,99.8000,99.9000,7935,4707,1935,4168,0,267,5,25047,0.680793,41.7525,8.3505,48817,421,70
13,2000,digest,1,2,800,10.3620,100.0000,100.0000,7917,4292,2288,3813,0,306,1,27299,0.623203,35.7088,7.1418,50705,137,72
7,2000,digest,1,4,800,9.7295,99.8500,99.8500,7920,4341,2254,3899,0,349,2,51783,0.624964,37.1025,7.4205,47298,168,47
1,2000,digest,1,4,800,10.1750,99.8000,99.9000,7934,5011,1667,4381,0,245,3,46245,0.723506,41.7525,8.3505,46718,421,68
13,2000,digest,1,4,800,10.3620,100.0000,100.0000,7915,4420,2171,3863,0,295,3,50900,0.641603,35.7088,7.1418,48484,137,73
7,2000,digest,1,8,800,9.7295,99.8500,99.8500,7919,4374,2206,3910,0,369,2,82289,0.629262,37.1025,7.4205,46581,168,47
1,2000,digest,1,8,800,10.1750,99.8000,99.9000,7931,5105,1576,4482,0,269,7,73040,0.733793,41.7525,8.3505,45979,421,62
13,2000,digest,1,8,800,10.3620,100.0000,100.0000,7916,4473,2128,3926,0,281,3,80604,0.649673,35.7088,7.1418,47617,137,73
7,2000,digest,4,1,800,9.7295,99.8500,99.8500,7928,6039,981,5546,0,293,2,4654,0.825564,37.1025,29.6820,46226,168,52
1,2000,digest,4,1,800,10.1750,99.8000,99.9000,7943,5836,1145,5412,0,263,2,5562,0.805410,41.7525,33.4020,46992,421,73
13,2000,digest,4,1,800,10.3620,100.0000,100.0000,7927,5673,1233,5119,0,280,1,5289,0.789342,35.7088,28.5670,49099,137,77
7,2000,digest,4,2,800,9.7295,99.8500,99.8500,7930,6796,409,6321,0,251,0,7706,0.911481,37.1025,29.6820,37784,168,44
1,2000,digest,4,2,800,10.1750,99.8000,99.9000,7943,7083,221,6514,0,196,3,5252,0.944022,41.7525,33.4020,37283,421,60
13,2000,digest,4,2,800,10.3620,100.0000,100.0000,7925,6784,384,6165,0,208,2,7429,0.919490,35.7088,28.5670,39278,137,67
7,2000,digest,4,4,800,9.7295,99.8500,99.8500,7928,7103,185,6625,0,227,0,11988,0.945176,37.1025,29.6820,34802,168,38
1,2000,digest,4,4,800,10.1750,99.8000,99.9000,7945,7478,12,6976,0,172,2,2702,0.975731,41.7525,33.4020,32640,421,53
13,2000,digest,4,4,800,10.3620,100.0000,100.0000,7926,7177,123,6553,0,186,2,10530,0.958467,35.7088,28.5670,35276,137,66
7,2000,digest,4,8,800,9.7295,99.8500,99.8500,7928,7199,127,6740,0,218,0,15863,0.954268,37.1025,29.6820,33747,168,39
1,2000,digest,4,8,800,10.1750,99.8000,99.9000,7945,7482,12,6951,0,171,2,4364,0.975871,41.7525,33.4020,32105,421,50
8,600,source-routed,1,1,800,3.0483,48.6667,36.6667,2379,550,1388,429,108,32,0,276,0.279188,8.5850,1.7170,45598,39537,66
2,600,source-routed,1,1,800,3.0317,31.6667,33.1667,2382,636,1370,559,64,0,0,414,0.317049,13.0000,2.6000,45566,41508,33
8,600,source-routed,1,2,800,3.0483,48.6667,36.6667,2377,576,1381,453,105,24,2,1108,0.290469,8.5850,1.7170,44861,39457,74
2,600,source-routed,1,2,800,3.0317,31.6667,33.1667,2382,681,1332,595,74,0,0,749,0.338301,13.0000,2.6000,45147,41508,34
8,600,source-routed,1,4,800,3.0483,48.6667,36.6667,2376,585,1375,468,101,23,4,2338,0.294414,8.5850,1.7170,44488,39442,75
2,600,source-routed,1,4,800,3.0317,31.6667,33.1667,2382,709,1307,614,80,0,0,1171,0.351687,13.0000,2.6000,45028,41508,33
8,600,source-routed,1,8,800,3.0483,48.6667,36.6667,2377,594,1365,460,116,22,6,3969,0.298943,8.5850,1.7170,44400,39442,72
2,600,source-routed,1,8,800,3.0317,31.6667,33.1667,2380,720,1294,618,90,0,0,1523,0.357498,13.0000,2.6000,44956,41508,33
8,600,source-routed,4,1,800,3.0483,48.6667,36.6667,2379,645,1321,445,182,31,0,110,0.322984,8.5850,6.8680,45356,39526,79
13,2000,digest,4,8,800,10.3620,100.0000,100.0000,7927,7243,99,6587,0,182,2,16643,0.962397,35.7088,28.5670,34469,137,64
2,600,source-routed,4,1,800,3.0317,31.6667,33.1667,2382,639,1367,559,67,0,0,414,0.318544,13.0000,10.4000,45504,41508,33
8,600,source-routed,4,2,800,3.0483,48.6667,36.6667,2379,787,1220,476,287,26,2,139,0.386732,8.5850,6.8680,44262,39457,77
14,600,source-routed,1,1,800,3.0833,41.8333,41.6667,2376,748,1243,651,84,24,0,417,0.371216,10.5538,2.1108,43300,38035,36
2,600,source-routed,4,2,800,3.0317,31.6667,33.1667,2382,701,1325,600,83,0,0,788,0.346002,13.0000,10.4000,44976,41508,34
8,600,source-routed,4,4,800,3.0483,48.6667,36.6667,2379,815,1203,480,314,23,4,82,0.398533,8.5850,6.8680,43718,39442,77
14,600,source-routed,1,2,800,3.0833,41.8333,41.6667,2376,787,1214,677,91,20,0,819,0.389411,10.5538,2.1108,42691,38035,37
2,600,source-routed,4,4,800,3.0317,31.6667,33.1667,2382,762,1278,607,131,0,0,899,0.373529,13.0000,10.4000,44710,41508,33
8,600,source-routed,4,8,800,3.0483,48.6667,36.6667,2379,826,1197,477,325,24,5,226,0.402534,8.5850,6.8680,43610,39442,73
14,600,source-routed,1,4,800,3.0833,41.8333,41.6667,2376,795,1207,696,85,20,0,1451,0.393175,10.5538,2.1108,42516,38035,36
2,600,source-routed,4,8,800,3.0317,31.6667,33.1667,2382,797,1248,605,169,0,0,692,0.389731,13.0000,10.4000,44605,41508,34
8,600,digest,1,1,800,3.0483,48.6667,36.6667,2379,594,1374,522,0,31,0,413,0.297149,8.5850,1.7170,45940,39513,65
14,600,source-routed,1,8,800,3.0833,41.8333,41.6667,2375,796,1207,686,92,19,0,2353,0.393670,10.5538,2.1108,42518,38035,37
2,600,digest,1,1,800,3.0317,31.6667,33.1667,2382,708,1318,663,0,0,0,290,0.349457,13.0000,2.6000,45640,41508,33
8,600,digest,1,2,800,3.0483,48.6667,36.6667,2378,611,1364,509,0,24,2,1509,0.305347,8.5850,1.7170,45297,39460,62
14,600,source-routed,4,1,800,3.0833,41.8333,41.6667,2376,832,1186,654,156,28,0,104,0.406647,10.5538,8.4430,42871,38035,37
2,600,digest,1,2,800,3.0317,31.6667,33.1667,2382,781,1249,749,0,0,0,247,0.384729,13.0000,2.6000,45157,41508,33
8,600,digest,1,4,800,3.0483,48.6667,36.6667,2376,631,1341,526,0,24,5,2992,0.315342,8.5850,1.7170,45007,39446,62
14,600,source-routed,4,2,800,3.0833,41.8333,41.6667,2376,890,1155,685,178,21,0,33,0.430784,10.5538,8.4430,42046,38035,37
2,600,digest,1,4,800,3.0317,31.6667,33.1667,2382,784,1248,759,0,0,0,229,0.385827,13.0000,2.6000,45033,41508,33
8,600,digest,1,8,800,3.0483,48.6667,36.6667,2376,647,1331,535,0,23,5,4813,0.322532,8.5850,1.7170,44878,39431,60
14,600,source-routed,4,4,800,3.0833,41.8333,41.6667,2376,901,1153,702,178,19,0,8,0.434636,10.5538,8.4430,41837,38035,36
2,600,digest,1,8,800,3.0317,31.6667,33.1667,2382,784,1248,759,0,0,0,248,0.385827,13.0000,2.6000,45020,41508,33
8,600,digest,4,1,800,3.0483,48.6667,36.6667,2379,776,1233,695,0,31,0,47,0.380392,8.5850,6.8680,45597,39513,64
14,600,source-routed,4,8,800,3.0833,41.8333,41.6667,2376,901,1153,697,182,19,0,8,0.434636,10.5538,8.4430,41812,38035,36
2,600,digest,4,1,800,3.0317,31.6667,33.1667,2382,719,1313,668,0,0,0,290,0.353839,13.0000,10.4000,45565,41508,33
8,600,digest,4,2,800,3.0483,48.6667,36.6667,2379,847,1195,741,0,23,2,23,0.409773,8.5850,6.8680,44483,39444,61
14,600,digest,1,1,800,3.0833,41.8333,41.6667,2376,813,1207,755,0,17,0,446,0.399116,10.5538,2.1108,43483,38035,38
2,600,digest,4,2,800,3.0317,31.6667,33.1667,2382,804,1248,774,0,0,0,0,0.391813,13.0000,10.4000,44850,41508,33
8,600,digest,4,4,800,3.0483,48.6667,36.6667,2379,863,1179,751,0,21,5,58,0.417311,8.5850,6.8680,44099,39430,59
14,600,digest,1,2,800,3.0833,41.8333,41.6667,2376,817,1206,757,0,15,0,1093,0.400883,10.5538,2.1108,43053,38035,36
2,600,digest,4,4,800,3.0317,31.6667,33.1667,2382,805,1247,775,0,0,0,0,0.392300,13.0000,10.4000,44767,41508,33
8,600,digest,4,8,800,3.0483,48.6667,36.6667,2379,865,1176,753,0,22,5,115,0.418279,8.5850,6.8680,44015,39415,59
14,600,digest,1,4,800,3.0833,41.8333,41.6667,2376,819,1207,758,0,14,0,1941,0.401471,10.5538,2.1108,43024,38035,36
2,600,digest,4,8,800,3.0317,31.6667,33.1667,2382,805,1247,775,0,0,0,0,0.392300,13.0000,10.4000,44761,41508,33
14,600,digest,1,8,800,3.0833,41.8333,41.6667,2376,819,1207,758,0,14,0,2930,0.401471,10.5538,2.1108,43020,38035,36
14,600,digest,4,1,800,3.0833,41.8333,41.6667,2376,914,1153,877,0,17,0,0,0.438580,10.5538,8.4430,42940,38035,38
14,600,digest,4,2,800,3.0833,41.8333,41.6667,2376,922,1152,883,0,15,0,0,0.441360,10.5538,8.4430,42264,38035,36
8,1200,source-routed,1,1,800,6.1867,98.7500,98.8333,4754,1624,2112,1202,393,231,1,7105,0.409274,12.1625,2.4325,36021,1463,88
2,1200,source-routed,1,1,800,6.4275,98.1667,98.1667,4749,1948,1922,1531,378,168,4,6231,0.481940,24.4425,4.8885,34827,2729,107
14,600,digest,4,4,800,3.0833,41.8333,41.6667,2376,926,1151,883,0,14,0,0,0.442850,10.5538,8.4430,42201,38035,36
14,600,digest,4,8,800,3.0833,41.8333,41.6667,2376,926,1151,883,0,14,0,0,0.442850,10.5538,8.4430,42197,38035,36
8,1200,source-routed,1,2,800,6.1867,98.7500,98.8333,4748,1677,2050,1178,463,225,3,17281,0.424020,12.1625,2.4325,32908,1461,85
2,1200,source-routed,1,2,800,6.4275,98.1667,98.1667,4743,2117,1768,1601,477,150,13,13558,0.522974,24.4425,4.8885,31256,2729,97
14,1200,source-routed,1,1,800,6.2500,98.6667,98.6667,4743,2282,1631,1755,484,181,1,5293,0.557265,25.6600,5.1320,33333,2016,79
8,1200,source-routed,1,4,800,6.1867,98.7500,98.8333,4745,1705,2001,1176,496,228,12,34431,0.432083,12.1625,2.4325,31812,1468,97
2,1200,source-routed,1,4,800,6.4275,98.1667,98.1667,4745,2197,1680,1614,534,155,21,26615,0.542068,24.4425,4.8885,29878,2729,102
14,1200,source-routed,1,2,800,6.2500,98.6667,98.6667,4742,2565,1386,1828,680,149,18,10983,0.622875,25.6600,5.1320,29860,2016,71
8,1200,source-routed,1,8,800,6.1867,98.7500,98.8333,4745,1711,2003,1131,540,225,13,57779,0.432945,12.1625,2.4325,31427,1459,94
2,1200,source-routed,1,8,800,6.4275,98.1667,98.1667,4745,2250,1634,1604,589,161,24,44638,0.552961,24.4425,4.8885,29478,2729,95
14,1200,source-routed,1,4,800,6.2500,98.6667,98.6667,4740,2668,1291,1854,758,136,25,21437,0.647573,25.6600,5.1320,28479,2016,64
8,1200,source-routed,4,1,800,6.1867,98.7500,98.8333,4753,2427,1502,1211,1158,208,1,4641,0.586515,12.1625,9.7300,33584,1463,89
2,1200,source-routed,4,1,800,6.4275,98.1667,98.1667,4751,2478,1472,1556,863,173,5,4453,0.600291,24.4425,19.5540,32989,2748,103
14,1200,source-routed,1,8,800,6.2500,98.6667,98.6667,4736,2724,1232,1862,807,143,27,35027,0.660204,25.6600,5.1320,27865,2016,61
8,1200,source-routed,4,2,800,6.1867,98.7500,98.8333,4751,3144,896,1271,1812,164,3,8232,0.747326,12.1625,9.7300,28151,1461,78
2,1200,source-routed,4,2,800,6.4275,98.1667,98.1667,4749,3167,906,1556,1533,143,18,7241,0.747992,24.4425,19.5540,27876,2729,92
14,1200,source-routed,4,1,800,6.2500,98.6667,98.6667,4747,2817,1224,1721,1031,181,3,3336,0.666746,25.6600,20.5280,31158,2016,76
8,1200,source-routed,4,4,800,6.1867,98.7500,98.8333,4754,3697,424,1271,2356,138,15,10861,0.864998,12.1625,9.7300,25271,1469,87
2,1200,source-routed,4,4,800,6.4275,98.1667,98.1667,4750,3764,416,1595,2087,119,34,10171,0.868682,24.4425,19.5540,25222,2729,89
14,1200,source-routed,4,2,800,6.2500,98.6667,98.6667,4747,3311,814,1785,1449,148,18,5694,0.771615,25.6600,20.5280,26313,2016,62
8,1200,source-routed,4,8,800,6.1867,98.7500,98.8333,4755,3811,341,1262,2479,133,23,17649,0.884633,12.1625,9.7300,24664,1463,77
2,1200,source-routed,4,8,800,6.4275,98.1667,98.1667,4749,3937,292,1612,2244,115,38,14727,0.898448,24.4425,19.5540,24444,2729,89
14,1200,source-routed,4,4,800,6.2500,98.6667,98.6667,4746,3787,412,1752,1955,131,18,7413,0.870975,25.6600,20.5280,23709,2016,55
8,1200,digest,1,1,800,6.1867,98.7500,98.8333,4751,1707,2036,1425,0,224,1,8132,0.430192,12.1625,2.4325,37611,1463,90
2,1200,digest,1,1,800,6.4275,98.1667,98.1667,4747,2150,1758,1893,0,161,7,6330,0.527478,24.4425,4.8885,35835,2729,109
14,1200,source-routed,4,8,800,6.2500,98.6667,98.6667,4745,4023,238,1765,2170,113,31,10770,0.913280,25.6600,20.5280,22931,2016,58
8,1200,digest,1,2,800,6.1867,98.7500,98.8333,4746,1729,1991,1392,0,232,2,19746,0.437279,12.1625,2.4325,34500,1467,94
2,1200,digest,1,2,800,6.4275,98.1667,98.1667,4747,2280,1644,1994,0,155,14,14522,0.557049,24.4425,4.8885,32500,2729,96
14,1200,digest,1,1,800,6.2500,98.6667,98.6667,4745,2570,1402,2292,0,177,2,5308,0.619128,25.6600,5.1320,34553,2016,84
8,1200,digest,1,4,800,6.1867,98.7500,98.8333,4744,1735,1966,1372,0,244,7,39349,0.439018,12.1625,2.4325,33586,1469,96
2,1200,digest,1,4,800,6.4275,98.1667,98.1667,4747,2328,1582,1998,0,162,27,29572,0.567943,24.4425,4.8885,31479,2729,99
14,1200,digest,1,2,800,6.2500,98.6667,98.6667,4742,2801,1183,2380,0,155,20,12423,0.673479,25.6600,5.1320,31700,2016,74
8,1200,digest,1,8,800,6.1867,98.7500,98.8333,4744,1747,1941,1405,0,259,14,65425,0.441050,12.1625,2.4325,33370,1469,95
2,1200,digest,1,8,800,6.4275,98.1667,98.1667,4747,2363,1543,2011,0,163,38,51067,0.575359,24.4425,4.8885,31321,2729,96
14,1200,digest,1,4,800,6.2500,98.6667,98.6667,4742,2901,1088,2432,0,150,25,23872,0.696686,25.6600,5.1320,30354,2016,69
8,1200,digest,4,1,800,6.1867,98.7500,98.8333,4755,2893,1127,2468,0,198,1,4055,0.685708,12.1625,9.7300,34167,1463,84
