seed,nBalloons,ackPolicy,towerContact,meshHop,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,completionRate,meanTowerAdjacent,deliveryCeilingPerRound,slotsWithBundle,stallNoBelief,stallStaleNextHop
12,600,digest,4,1,800,3.1833,54.6667,34.8333,2379,696,1302,596,0,7,0,427,0.347132,7.1312,5.7050,44272,36707,55
0,600,digest,4,1,800,3.0317,44.0000,43.0000,2375,853,1193,794,0,4,0,78,0.416098,13.2338,10.5870,40977,35433,32
6,600,digest,4,2,800,2.8533,33.3333,25.1667,2383,636,1386,585,0,0,2,12,0.314229,12.8462,10.2770,49285,45597,78
12,600,digest,4,2,800,3.1833,54.6667,34.8333,2379,890,1148,802,0,7,4,262,0.434358,7.1312,5.7050,42841,36682,58
0,600,digest,4,2,800,3.0317,44.0000,43.0000,2375,987,1070,899,0,4,3,49,0.478198,13.2338,10.5870,40424,35428,32
6,600,digest,4,4,800,2.8533,33.3333,25.1667,2383,644,1380,600,0,0,1,8,0.318025,12.8462,10.2770,49013,45575,78
12,600,digest,4,4,800,3.1833,54.6667,34.8333,2379,951,1096,872,0,6,5,81,0.462099,7.1312,5.7050,42298,36641,49
0,600,digest,4,4,800,3.0317,44.0000,43.0000,2375,1008,1064,959,0,4,2,2,0.485082,13.2338,10.5870,40054,35427,32
6,600,digest,4,8,800,2.8533,33.3333,25.1667,2383,645,1379,600,0,0,1,30,0.318519,12.8462,10.2770,48962,45575,78
12,600,digest,4,8,800,3.1833,54.6667,34.8333,2379,955,1094,875,0,6,5,143,0.463592,7.1312,5.7050,42236,36641,49
0,600,digest,4,8,800,3.0317,44.0000,43.0000,2375,1009,1064,960,0,4,2,22,0.485329,13.2338,10.5870,39961,35427,32
6,1200,source-routed,1,1,800,5.9475,97.0833,97.1667,4763,2269,1616,1743,474,195,0,5502,0.556127,22.3100,4.4620,34105,2504,100
0,1200,source-routed,1,1,800,6.1308,96.3333,96.4167,4744,2656,1331,2179,429,162,2,4224,0.639846,29.6137,5.9227,31649,3033,104
12,1200,source-routed,1,1,800,6.2750,97.9167,98.0833,4761,1812,2040,1301,470,189,0,6638,0.448404,17.3375,3.4675,35696,2068,96
6,1200,source-routed,1,2,800,5.9475,97.0833,97.1667,4760,2439,1491,1749,634,163,1,12388,0.595750,22.3100,4.4620,30647,2504,94
0,1200,source-routed,1,2,800,6.1308,96.3333,96.4167,4740,2831,1186,2246,529,138,3,10316,0.680856,29.6137,5.9227,29046,3033,94
12,1200,source-routed,1,2,800,6.2750,97.9167,98.0833,4756,1972,1890,1346,581,171,10,14775,0.487757,17.3375,3.4675,32234,2062,77
